order_id,session_id,product_id,order_date,quantity,unit_price,order_value,month
1,23,16,2024-01-24,1,36.62,36.62,1
2,72,36,2024-01-14,1,15.31,15.31,1
3,88,12,2024-01-20,1,21.64,21.64,1
4,249,36,2024-01-24,1,14.56,14.56,1
5,260,3,2024-01-24,1,150.32,150.32,1
6,282,35,2024-01-13,1,35.03,35.03,1
7,283,30,2024-01-06,1,20.23,20.23,1
8,375,31,2024-01-29,1,30.69,30.69,1
9,409,17,2024-01-07,1,61.52,61.52,1
10,483,26,2024-01-26,1,27.75,27.75,1
11,487,17,2024-01-01,1,68.89,68.89,1
12,517,14,2024-01-25,1,99.79,99.79,1
13,578,33,2024-01-19,1,57.12,57.12,1
14,600,15,2024-01-12,1,47.76,47.76,1
15,747,31,2024-01-26,2,31.35,62.7,1
16,763,23,2024-01-10,1,9.25,9.25,1
17,798,20,2024-01-27,1,14.67,14.67,1
18,807,6,2024-01-12,1,64.23,64.23,1
19,823,12,2024-01-31,2,24.14,48.28,1
20,828,23,2024-01-04,1,10.63,10.63,1
21,834,8,2024-01-06,1,104.35,104.35,1
22,905,24,2024-01-06,1,14.9,14.9,1
23,930,21,2024-01-28,1,32.48,32.48,1
24,948,30,2024-01-13,1,19.81,19.81,1
25,1010,12,2024-01-24,1,25.04,25.04,1
26,1041,22,2024-01-28,1,18.57,18.57,1
27,1080,24,2024-01-08,1,14.54,14.54,1
28,1146,23,2024-01-18,1,9.46,9.46,1
29,1194,24,2024-01-07,1,15.01,15.01,1
30,1195,24,2024-01-29,1,14.89,14.89,1
31,1243,8,2024-01-23,1,104.27,104.27,1
32,1311,4,2024-01-09,1,51.04,51.04,1
33,1319,3,2024-01-18,1,141.3,141.3,1
34,1334,8,2024-01-09,1,104.3,104.3,1
35,1383,35,2024-01-13,1,40.82,40.82,1
36,1429,27,2024-01-05,1,168.53,168.53,1
37,1551,18,2024-01-20,2,23.37,46.74,1
38,1569,20,2024-01-05,2,15.16,30.32,1
39,1587,8,2024-01-03,1,105.47,105.47,1
40,1589,21,2024-01-06,1,30.87,30.87,1
41,1695,4,2024-01-25,1,52.04,52.04,1
42,1823,21,2024-01-16,2,34.15,68.3,1
43,1873,24,2024-01-25,2,14.17,28.34,1
44,1935,18,2024-01-23,1,21.9,21.9,1
45,2035,21,2024-01-08,1,34.28,34.28,1
46,2166,4,2024-01-22,1,47.28,47.28,1
47,2196,21,2024-01-07,2,29.45,58.9,1
48,2216,30,2024-01-16,4,22.58,90.32,1
49,2248,19,2024-01-24,3,17.34,52.02,1
50,2268,7,2024-01-21,1,89.23,89.23,1
51,2281,24,2024-01-24,2,13.8,27.6,1
52,2369,19,2024-01-27,1,18.52,18.52,1
53,2421,23,2024-01-04,1,10.8,10.8,1
54,2492,12,2024-01-14,2,24.59,49.18,1
55,2536,25,2024-01-10,2,45.52,91.04,1
56,2724,2,2024-01-19,1,71.15,71.15,1
57,2760,19,2024-01-29,2,17.92,35.84,1
58,2898,34,2024-01-04,1,21.7,21.7,1
59,2925,27,2024-01-31,1,156.46,156.46,1
60,2977,19,2024-01-06,1,16.92,16.92,1
61,3036,28,2024-01-16,4,73.14,292.56,1
62,3078,2,2024-01-01,1,82.47,82.47,1
63,3191,15,2024-01-26,1,45.21,45.21,1
64,3260,19,2024-01-23,1,16.63,16.63,1
65,3285,22,2024-01-31,4,16.8,67.2,1
66,3294,27,2024-01-07,1,149.81,149.81,1
67,3371,32,2024-01-14,2,30.22,60.44,1
68,3396,12,2024-01-10,1,23.21,23.21,1
69,3515,22,2024-01-12,1,15.35,15.35,1
70,3541,25,2024-01-09,1,43.9,43.9,1
71,3591,28,2024-01-26,1,72.24,72.24,1
72,3661,15,2024-01-08,1,44.54,44.54,1
73,3681,31,2024-01-28,1,37.19,37.19,1
74,3729,35,2024-01-21,1,41.27,41.27,1
75,3733,24,2024-01-21,1,16.36,16.36,1
76,3868,31,2024-01-24,1,33.15,33.15,1
77,3941,12,2024-01-16,1,22.1,22.1,1
78,3995,4,2024-01-09,1,51.2,51.2,1
79,4013,22,2024-01-26,1,18.11,18.11,1
