session_id,session_date,device_type,user_id,month
1,2024-01-31,Mobile,26492,1
2,2024-01-19,Mobile,4487,1
3,2024-01-11,Desktop,25928,1
4,2024-01-04,Mobile,6387,1
5,2024-01-01,Tablet,16081,1
6,2024-01-09,Mobile,11149,1
7,2024-01-17,Mobile,38422,1
8,2024-01-19,Mobile,10580,1
9,2024-01-02,Mobile,30932,1
10,2024-01-24,Mobile,11025,1
11,2024-01-27,Mobile,18312,1
12,2024-01-20,Mobile,7815,1
13,2024-01-15,Tablet,28478,1
14,2024-01-07,Mobile,49370,1
15,2024-01-27,Mobile,25116,1
16,2024-01-24,Mobile,38191,1
17,2024-01-26,Desktop,10132,1
18,2024-01-19,Mobile,1984,1
19,2024-01-14,Mobile,16992,1
20,2024-01-09,Mobile,42653,1
21,2024-01-30,Desktop,49966,1
22,2024-01-22,Desktop,22830,1
23,2024-01-24,Desktop,39451,1
24,2024-01-12,Desktop,16777,1
25,2024-01-26,Mobile,11949,1
26,2024-01-09,Mobile,40520,1
27,2024-01-17,Mobile,18081,1
28,2024-01-02,Mobile,45113,1
29,2024-01-27,Desktop,19470,1
30,2024-01-01,Mobile,14751,1
31,2024-01-08,Mobile,30622,1
32,2024-01-29,Tablet,339,1
33,2024-01-03,Desktop,20405,1
34,2024-01-04,Desktop,10159,1
35,2024-01-30,Desktop,8006,1
36,2024-01-11,Desktop,30556,1
37,2024-01-05,Mobile,36956,1
38,2024-01-05,Mobile,39491,1
39,2024-01-12,Mobile,1495,1
40,2024-01-29,Mobile,39560,1
41,2024-01-27,Desktop,36668,1
42,2024-01-12,Mobile,3691,1
43,2024-01-15,Mobile,22198,1
44,2024-01-19,Mobile,1853,1
45,2024-01-10,Mobile,14140,1
46,2024-01-10,Mobile,25225,1
47,2024-01-12,Mobile,14494,1
48,2024-01-13,Desktop,27367,1
49,2024-01-16,Mobile,206,1
50,2024-01-01,Mobile,29129,1
51,2024-01-31,Desktop,38741,1
52,2024-01-08,Desktop,36747,1
53,2024-01-08,Mobile,39426,1
54,2024-01-09,Mobile,42258,1
55,2024-01-12,Mobile,15720,1
56,2024-01-23,Tablet,22028,1
57,2024-01-01,Mobile,40885,1
58,2024-01-13,Mobile,30030,1
59,2024-01-18,Mobile,43708,1
60,2024-01-14,Mobile,28242,1
61,2024-01-29,Mobile,14617,1
62,2024-01-24,Desktop,48578,1
63,2024-01-24,Mobile,1003,1
64,2024-01-29,Desktop,45977,1
65,2024-01-18,Mobile,17731,1
66,2024-01-30,Desktop,7358,1
67,2024-01-14,Desktop,14757,1
68,2024-01-11,Desktop,30854,1
69,2024-01-30,Tablet,22836,1
70,2024-01-28,Mobile,43963,1
71,2024-01-05,Mobile,47285,1
72,2024-01-14,Desktop,12166,1
73,2024-01-30,Desktop,7770,1
74,2024-01-15,Desktop,34050,1
75,2024-01-09,Desktop,10258,1
76,2024-01-23,Desktop,38174,1
77,2024-01-13,Mobile,13856,1
78,2024-01-09,Mobile,24606,1
79,2024-01-11,Desktop,45557,1
80,2024-01-27,Desktop,41889,1
81,2024-01-12,Mobile,47193,1
82,2024-01-29,Desktop,42475,1
83,2024-01-21,Mobile,734,1
84,2024-01-14,Mobile,320,1
85,2024-01-20,Mobile,36091,1
86,2024-01-12,Mobile,49157,1
87,2024-01-25,Desktop,17619,1
88,2024-01-20,Mobile,1637,1
89,2024-01-21,Desktop,39398,1
90,2024-01-31,Desktop,37328,1
91,2024-01-27,Mobile,38750,1
92,2024-01-24,Mobile,15826,1
93,2024-01-15,Desktop,45596,1
94,2024-01-01,Desktop,32678,1
95,2024-01-29,Desktop,3417,1
96,2024-01-03,Mobile,24633,1
97,2024-01-12,Mobile,4162,1
98,2024-01-22,Mobile,19441,1
99,2024-01-30,Mobile,36418,1
100,2024-01-31,Desktop,35576,1
101,2024-01-06,Desktop,35104,1
102,2024-01-24,Mobile,45243,1
103,2024-01-24,Mobile,31374,1
104,2024-01-23,Mobile,2146,1
105,2024-01-02,Mobile,13733,1
106,2024-01-26,Mobile,40752,1
107,2024-01-08,Mobile,2558,1
108,2024-01-02,Mobile,18878,1
109,2024-01-25,Tablet,10173,1
110,2024-01-15,Mobile,10296,1
111,2024-01-05,Mobile,8793,1
112,2024-01-25,Mobile,38428,1
113,2024-01-05,Mobile,37408,1
114,2024-01-01,Desktop,35015,1
115,2024-01-20,Mobile,47672,1
116,2024-01-23,Desktop,46688,1
117,2024-01-16,Mobile,49732,1
118,2024-01-19,Mobile,16863,1
119,2024-01-17,Mobile,16131,1
120,2024-01-17,Mobile,11313,1
121,2024-01-09,Mobile,44689,1
122,2024-01-25,Mobile,5697,1
123,2024-01-28,Desktop,46781,1
124,2024-01-02,Mobile,4280,1
125,2024-01-15,Mobile,19742,1
126,2024-01-17,Desktop,31409,1
127,2024-01-28,Mobile,33437,1
128,2024-01-19,Mobile,36924,1
129,2024-01-10,Mobile,33531,1
130,2024-01-10,Desktop,4900,1
131,2024-01-09,Mobile,11557,1
132,2024-01-30,Mobile,31286,1
133,2024-01-30,Desktop,17871,1
134,2024-01-06,Desktop,27416,1
135,2024-01-13,Tablet,38004,1
136,2024-01-16,Mobile,46635,1
137,2024-01-25,Desktop,15423,1
138,2024-01-21,Desktop,46773,1
139,2024-01-25,Mobile,1645,1
140,2024-01-09,Mobile,12119,1
141,2024-01-28,Desktop,37390,1
142,2024-01-06,Mobile,33506,1
143,2024-01-30,Mobile,39833,1
144,2024-01-18,Mobile,47747,1
145,2024-01-19,Desktop,7852,1
146,2024-01-13,Desktop,45017,1
147,2024-01-18,Mobile,6833,1
148,2024-01-27,Desktop,1550,1
149,2024-01-24,Mobile,35416,1
150,2024-01-11,Mobile,15062,1
151,2024-01-13,Mobile,6545,1
152,2024-01-15,Desktop,18963,1
153,2024-01-04,Mobile,29847,1
154,2024-01-03,Mobile,38678,1
155,2024-01-21,Mobile,27189,1
156,2024-01-20,Tablet,41711,1
157,2024-01-19,Mobile,27694,1
158,2024-01-19,Mobile,3857,1
159,2024-01-27,Desktop,3684,1
160,2024-01-02,Tablet,48934,1
161,2024-01-10,Mobile,592,1
162,2024-01-18,Mobile,39495,1
163,2024-01-27,Desktop,6650,1
164,2024-01-25,Desktop,21371,1
165,2024-01-16,Mobile,46753,1
166,2024-01-22,Mobile,39669,1
167,2024-01-14,Desktop,23918,1
168,2024-01-08,Mobile,26696,1
169,2024-01-12,Mobile,5500,1
170,2024-01-13,Desktop,36079,1
171,2024-01-07,Mobile,42512,1
172,2024-01-03,Mobile,20678,1
173,2024-01-31,Desktop,21297,1
174,2024-01-21,Mobile,21406,1
175,2024-01-30,Mobile,28906,1
176,2024-01-26,Desktop,34127,1
177,2024-01-27,Mobile,3500,1
178,2024-01-18,Desktop,8260,1
179,2024-01-14,Desktop,37986,1
180,2024-01-06,Mobile,31093,1
181,2024-01-04,Mobile,22022,1
182,2024-01-20,Tablet,24013,1
183,2024-01-19,Mobile,48561,1
184,2024-01-03,Mobile,26720,1
185,2024-01-04,Desktop,38524,1
186,2024-01-22,Mobile,4211,1
187,2024-01-09,Mobile,11375,1
188,2024-01-07,Mobile,32706,1
189,2024-01-06,Mobile,28547,1
190,2024-01-13,Mobile,34415,1
191,2024-01-16,Tablet,29936,1
192,2024-01-22,Mobile,36595,1
193,2024-01-02,Desktop,33357,1
194,2024-01-06,Desktop,1930,1
195,2024-01-23,Mobile,7071,1
196,2024-01-12,Mobile,18895,1
197,2024-01-29,Desktop,21152,1
198,2024-01-02,Tablet,14301,1
199,2024-01-02,Mobile,40061,1
200,2024-01-19,Desktop,9223,1
201,2024-01-13,Tablet,1904,1
202,2024-01-10,Mobile,21270,1
203,2024-01-21,Mobile,42806,1
204,2024-01-03,Mobile,23098,1
205,2024-01-28,Desktop,5847,1
206,2024-01-04,Mobile,43534,1
207,2024-01-25,Desktop,24885,1
208,2024-01-10,Mobile,44881,1
209,2024-01-27,Mobile,23587,1
210,2024-01-13,Desktop,27414,1
211,2024-01-29,Desktop,36711,1
212,2024-01-09,Mobile,29520,1
213,2024-01-01,Mobile,17466,1
214,2024-01-24,Mobile,36501,1
215,2024-01-15,Desktop,34241,1
216,2024-01-03,Mobile,15942,1
217,2024-01-30,Mobile,39216,1
218,2024-01-31,Mobile,49285,1
219,2024-01-17,Mobile,49832,1
220,2024-01-17,Mobile,12153,1
221,2024-01-18,Desktop,19281,1
222,2024-01-14,Tablet,21596,1
223,2024-01-20,Desktop,2333,1
224,2024-01-11,Mobile,12761,1
225,2024-01-03,Mobile,39907,1
226,2024-01-25,Mobile,48712,1
227,2024-01-19,Mobile,40950,1
228,2024-01-17,Mobile,2342,1
229,2024-01-26,Mobile,22046,1
230,2024-01-06,Mobile,49899,1
231,2024-01-27,Mobile,45928,1
232,2024-01-11,Desktop,41302,1
